iterationID	ALLZONE	AsiaWS	CAEQ	CatNonGOM	ChinaEQ	EuropeEQ	GMWS	JapanEQ	Noncat	PNWEQ	TaiwanEQ	USEQ
53667	1.10795e+006	0	0	0	0	0	0	0	1.10795e+006	0	0	0
53668	1.19822e+006	0	0	0	0	0	0	0	1.19822e+006	0	0	0
53669	177879	0	0	0	0	0	0	0	177879	0	0	0
53670	14983.8	0	0	0	0	0	0	0	14983.8	0	0	0
53671	0	0	0	0	0	0	0	0	0	0	0	0
53672	0	0	0	0	0	0	0	0	0	0	0	0
53673	331825	0	0	0	0	0	0	0	331825	0	0	0
53674	1.04319e+006	0	0	0	0	0	0	0	1.04319e+006	0	0	0
53675	1.77306e+006	0	0	0	0	0	0	0	1.77306e+006	0	0	0
53676	0	0	0	0	0	0	0	0	0	0	0	0
53677	0	0	0	0	0	0	0	0	0	0	0	0
53678	0	0	0	0	0	0	0	0	0	0	0	0
53679	50334.5	0	0	50334.5	0	0	0	0	0	0	0	0
53680	0	0	0	0	0	0	0	0	0	0	0	0
53681	0	0	0	0	0	0	0	0	0	0	0	0
53682	41651	0	0	0	0	0	0	0	41651	0	0	0
53683	0	0	0	0	0	0	0	0	0	0	0	0
53684	247503	0	0	0	0	0	0	0	247503	0	0	0
53685	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53686	181864	0	0	0	0	0	0	0	181864	0	0	0
53687	0	0	0	0	0	0	0	0	0	0	0	0
53688	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53689	0	0	0	0	0	0	0	0	0	0	0	0
53690	0	0	0	0	0	0	0	0	0	0	0	0
53691	463349	0	0	376659	0	0	0	0	86689.6	0	0	0
53692	1.49817e+006	0	0	0	0	0	0	0	1.49817e+006	0	0	0
53693	833835	0	0	0	0	0	0	0	833835	0	0	0
53694	0	0	0	0	0	0	0	0	0	0	0	0
53695	1.20568e+006	0	0	0	0	0	0	0	1.20568e+006	0	0	0
53696	0	0	0	0	0	0	0	0	0	0	0	0
53697	0	0	0	0	0	0	0	0	0	0	0	0
53698	211820	0	0	0	0	0	0	0	211820	0	0	0
53699	0	0	0	0	0	0	0	0	0	0	0	0
53700	1.35671e+006	0	0	0	0	0	0	0	1.35671e+006	0	0	0
53701	0	0	0	0	0	0	0	0	0	0	0	0
53702	0	0	0	0	0	0	0	0	0	0	0	0
53703	1.77295e+006	0	0	0	0	0	0	0	1.77295e+006	0	0	0
53704	215608	0	0	0	0	0	0	0	215608	0	0	0
53705	0	0	0	0	0	0	0	0	0	0	0	0
53706	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53707	1.88927e+006	0	0	0	0	0	0	0	1.88927e+006	0	0	0
53708	1.28117e+006	0	0	0	0	0	0	0	1.28117e+006	0	0	0
53709	688768	0	0	0	0	0	0	0	688768	0	0	0
53710	525553	0	0	0	0	0	0	0	525553	0	0	0
53711	1.3621e+006	0	0	0	0	0	0	0	1.3621e+006	0	0	0
53712	608003	0	0	0	0	0	0	0	608003	0	0	0
53713	1.91628e+006	0	0	0	0	0	0	0	1.91628e+006	0	0	0
53714	0	0	0	0	0	0	0	0	0	0	0	0
53715	2.49769e+006	0	0	0	0	0	0	0	2.49769e+006	0	0	0
53716	218757	0	0	0	0	0	0	0	218757	0	0	0
